entry_time,closing_time
1761810941.47,10.20
1761811006.32,9.70
1761811057.32,9.94
1761811108.99,9.81
1761811154.46,9.85
1761811197.00,9.78
1761811247.78,9.48
1761811311.12,9.61
1761814989.71,10.37
1761815335.46,8.62
1761816955.81,10.32
1761817115.36,10.12
1761817211.70,9.67
1761817329.03,10.30
1761818145.00,3.77
2025-10-30 15:54:27,1.83s
2025-10-30 15:59:20,1.90s
2025-10-30 16:01:38,1.88s
2025-10-30 16:03:57,6.90s
2025-10-30 16:05:17,4.92s
2025-11-06 16:42:17,4.95s
2025-11-07 14:23:18,15.67s
2025-11-07 14:25:39,15.90s
2025-11-09 15:40:29,20.36s
2025-11-09 15:42:00,19.71s
